date,country,country_code,ranking,points,prev_points,prev_rank,confederation,pts_avg_1,pts_avg_wgt_1,pts_avg_2,pts_avg_wgt_2,pts_avg_3,pts_avg_wgt_3,pts_avg_4,pts_avg_wgt_4
2016-04-07,Bahrain,BHR,132,271(270.62),269,0,AFC,127.16,127.16,147.44,73.72,151.92,45.58,120.79,24.16
2016-04-07,Guyana,GUY,133,270(269.8),165,23,CONCACAF,227.80,227.80,54.68,27.34,0.00,0.00,73.28,14.66
2016-04-07,Azerbaijan,AZE,134,269(268.88),300,-22,UEFA,133.65,133.65,68.18,34.09,259.75,77.92,116.09,23.22
2016-04-07,Swaziland,SWZ,134,269(268.66),277,-10,CAF,220.71,220.71,60.99,30.50,35.26,10.58,34.40,6.88
2016-04-07,Namibia,NAM,136,267(266.56),265,-3,CAF,136.45,136.45,147.82,73.91,103.33,31.00,125.99,25.20
2016-04-07,Aruba,ARU,137,259(258.94),298,-24,CONCACAF,161.50,161.50,132.00,66.00,34.80,10.44,104.98,21.00
2016-04-07,Madagascar,MAD,138,257(257.1),272,-8,CAF,183.57,183.57,147.06,73.53,0.00,0.00,0.00,0.00
2016-04-07,Lithuania,LTU,139,254(253.96),274,-11,UEFA,83.60,83.60,200.22,100.11,150.44,45.13,125.60,25.12
2016-04-07,St. Lucia,LCA,140,238(237.91),216,4,CONCACAF,130.90,130.90,116.67,58.33,68.11,20.43,141.24,28.25
2016-04-07,FYR Macedonia,MKD,141,235(234.74),257,-3,UEFA,68.31,68.31,84.05,42.02,232.88,69.86,272.71,54.54
2016-04-07,Hong Kong,HKG,142,234(233.78),253,-3,AFC,176.18,176.18,58.76,29.38,21.50,6.45,108.87,21.77
2016-04-07,Barbados,BRB,143,231(230.88),227,0,CONCACAF,118.29,118.29,167.88,83.94,0.00,0.00,143.26,28.65
2016-04-07,Vietnam,VIE,144,228(228.3),210,2,AFC,132.05,132.05,96.12,48.06,119.71,35.91,61.37,12.27
2016-04-07,Luxembourg,LUX,145,221(220.8),233,-3,UEFA,127.22,127.22,66.89,33.44,166.30,49.89,51.25,10.25
2016-04-07,St. Vincent and the Grenadines,VIN,146,220(220.18),243,-5,CONCACAF,91.48,91.48,165.43,82.72,35.20,10.56,177.10,35.42
2016-04-07,Afghanistan,AFG,147,210(210.13),192,4,AFC,103.06,103.06,85.14,42.57,114.67,34.40,150.50,30.10
2016-04-07,Singapore,SIN,148,202(202.34),198,0,AFC,137.77,137.77,55.25,27.63,80.33,24.10,64.25,12.85
2016-04-07,Lesotho,LES,148,202(201.68),186,5,CAF,82.45,82.45,152.80,76.40,82.60,24.78,90.25,18.05
2016-04-07,SÃ£o TomÃ© e PrÃ­ncipe,STP,150,197(196.56),117,24,CAF,196.56,196.56,0.00,0.00,0.00,0.00,0.00,0.00
2016-04-07,Dominican Republic,DOM,151,193(193.05),150,8,CONCACAF,72.68,72.68,133.08,66.54,0.00,0.00,269.17,53.83
